"id_fabricante";"nome_fabricante";"nacionalidade";"url_bandeira"
1;"FIAT";"Itália";"https://i.ibb.co/Y4tFv8hz/italia.jpg"
2;"Peugeot";"França";"https://i.ibb.co/4DZCh58/fran-a.jpg"
3;"Volkswagen";"Alemanha";"https://i.ibb.co/DPjGZLN8/bandiera-alemanha.png"
4;"Chevrolet";"Estados Unidos";"https://i.ibb.co/TnkjgCB/bandiera-eua.png"
5;"Hyundai";"Coreia do Sul";"https://i.ibb.co/B53vj44x/coreia-do-sul.png"
6;"Renault";"França";"https://i.ibb.co/4DZCh58/fran-a.jpg"
7;"Citroën";"França";"https://i.ibb.co/4DZCh58/fran-a.jpg"
